2026-04-04 03:46:20 | ALLOWED | lines=14 bytes=1320 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 04:25:40 | ALLOWED | lines=629 bytes=26219 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:25:45 | ALLOWED | lines=629 bytes=26219 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:26:24 | ALLOWED | lines=191 bytes=7541 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_validators.py
2026-04-04 04:26:34 | ALLOWED | lines=239 bytes=7987 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_regression.py
2026-04-04 04:27:16 | ALLOWED | lines=241 bytes=8141 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_regression.py
2026-04-04 04:27:41 | ALLOWED | lines=197 bytes=6018 | passed | /Users/apple/.claude/mcp/dm-mcp/core/decorators.py
2026-04-04 04:27:48 | ALLOWED | lines=128 bytes=3158 | passed | /Users/apple/.claude/mcp/dm-mcp/core/response.py
2026-04-04 04:28:28 | ALLOWED | lines=131 bytes=5362 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:29:22 | ALLOWED | lines=288 bytes=7633 | passed | /Users/apple/.claude/mcp/dm-mcp/core/cache.py
2026-04-04 04:30:21 | ALLOWED | lines=220 bytes=9111 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:30:41 | ALLOWED | lines=221 bytes=9096 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:31:39 | ALLOWED | lines=20 bytes=2502 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 04:36:41 | ALLOWED | lines=609 bytes=25522 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:37:12 | ALLOWED | lines=599 bytes=25021 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:37:18 | ALLOWED | lines=599 bytes=25021 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:37:58 | ALLOWED | lines=599 bytes=24946 | passed | /Users/apple/.claude/mcp/dm-mcp/db/DmJdbcBridge.java
2026-04-04 04:48:47 | ALLOWED | lines=27 bytes=3178 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 04:52:13 | ALLOWED | lines=54 bytes=7330 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/design.md
2026-04-04 04:52:13 | ALLOWED | lines=60 bytes=5633 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/proposal.md
2026-04-04 04:52:20 | ALLOWED | lines=44 bytes=3606 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/diagnostic-query/spec.md
2026-04-04 04:52:20 | ALLOWED | lines=40 bytes=2643 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/java-bridge/spec.md
2026-04-04 04:52:20 | ALLOWED | lines=28 bytes=1981 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/database-client/spec.md
2026-04-04 04:52:29 | ALLOWED | lines=34 bytes=802 | passed | /Users/apple/.claude/mcp/dm-mcp/main.py
2026-04-04 04:52:34 | ALLOWED | lines=38 bytes=798 | passed | /Users/apple/.claude/mcp/dm-mcp/tools/__init__.py
2026-04-04 04:53:16 | ALLOWED | lines=472 bytes=15499 | passed | /Users/apple/.claude/mcp/dm-mcp/db/client.py
2026-04-04 04:53:46 | ALLOWED | lines=242 bytes=6482 | passed | /Users/apple/.claude/mcp/dm-mcp/README.md
2026-04-04 04:53:52 | ALLOWED | lines=242 bytes=6482 | passed | /Users/apple/.claude/mcp/dm-mcp/README.md
2026-04-04 04:54:16 | ALLOWED | lines=248 bytes=7059 | passed | /Users/apple/.claude/mcp/dm-mcp/README.md
2026-04-04 04:54:31 | ALLOWED | lines=209 bytes=8488 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:54:36 | ALLOWED | lines=209 bytes=8488 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:54:41 | ALLOWED | lines=209 bytes=8488 | auto-added limit | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:54:51 | ALLOWED | lines=209 bytes=8488 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:55:02 | ALLOWED | lines=210 bytes=8535 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:55:07 | ALLOWED | lines=210 bytes=8535 | passed | /Users/apple/.claude/mcp/dm-mcp/tests/test_query_tool.py
2026-04-04 04:56:13 | ALLOWED | lines=27 bytes=3178 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/tasks.md
2026-04-04 05:13:47 | ALLOWED | lines=44 bytes=3606 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/support-explain-plan-queries/specs/diagnostic-query/spec.md
2026-04-04 05:13:47 | ALLOWED | lines=89 bytes=3045 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/database-client/spec.md
2026-04-04 05:13:47 | ALLOWED | lines=128 bytes=5072 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/java-bridge/spec.md
2026-04-04 11:54:33 | ALLOWED | lines=35 bytes=2645 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/fix-real-dm-diagnostic-query-compatibility/specs/diagnostic-query/spec.md
2026-04-04 11:54:33 | ALLOWED | lines=47 bytes=2747 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/fix-real-dm-diagnostic-query-compatibility/specs/java-bridge/spec.md
2026-04-04 11:54:39 | ALLOWED | lines=50 bytes=3646 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/diagnostic-query/spec.md
2026-04-04 11:54:39 | ALLOWED | lines=135 bytes=6288 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/java-bridge/spec.md
2026-04-04 11:55:20 | ALLOWED | lines=76 bytes=5540 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/diagnostic-query/spec.md
2026-04-04 11:56:04 | ALLOWED | lines=80 bytes=4347 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/fix-tool-query-contract-regression/specs/database-client/spec.md
2026-04-04 11:56:04 | ALLOWED | lines=101 bytes=4438 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/database-client/spec.md
2026-04-04 11:56:41 | ALLOWED | lines=71 bytes=5488 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/handle-explain-plan-empty-plan-table/specs/diagnostic-query/spec.md
2026-04-04 11:56:41 | ALLOWED | lines=66 bytes=4289 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/changes/handle-explain-plan-empty-plan-table/specs/java-bridge/spec.md
2026-04-04 11:56:57 | ALLOWED | lines=64 bytes=4602 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/diagnostic-query/spec.md
2026-04-04 11:56:57 | ALLOWED | lines=142 bytes=6390 | passed | /Users/apple/.claude/mcp/dm-mcp/openspec/specs/java-bridge/spec.md
